Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET - Single Post,50,312,165,1515,274.20,0.000%,8.97022,13.27,1.21,1515.0
TOTAL,50,312,165,1515,274.20,0.000%,8.97022,13.27,1.21,1515.0
